yr,blk,AJ01,J11,J13,J14,J15,J16,J17,J18,J19,J110,J111,J112,J113
24,J,128596,3,3411021,27,3092.51,3092.51,928856714.0,421685044.0,0.0,42371269.0,0.0,150298.75,464800401.0
24,J,128596,4,3411046,27,1363.87,1363.87,207322347.0,94120796.0,0.0,9457337.0,0.0,76066.06,103744214.0
24,J,128596,5,3411056,9,9165.69,9165.69,1326130495.0,602040539.0,0.0,60493542.0,0.0,72400.05,663596414.0
24,J,128596,6,3411062,27,19982.81,19982.81,5855583935.0,2658334848.0,0.0,267111731.0,0.0,146632.9,2930137356.0
24,J,128596,7,3423127,9,593217.41,593217.41,9531300.0,4327047.0,0.0,434785.0,0.0,8.04,4769468.0
24,J,128596,11,9921100,0,0.0,0.0,6176032049.0,1228021107.0,0.0,123392599.0,0.0,0.0,4824618343.0
24,J,128596,12,9995000,0,0.0,0.0,17652792923.0,6438274040.0,0.0,646923214.0,0.0,0.0,10447173384.0
24,J,128597,1,3511030,27,511.0,525.0,225645168.0,0.0,0.0,3332767.0,0.0,423452.19,216384070.0
24,J,128597,2,3472001,27,2569.0,2542.0,581210252.0,0.0,0.0,8584445.0,0.0,225265.86,578707985.0
24,J,128597,3,3513004,9,3241254.0,3148644.0,2341937139.0,0.0,0.0,34590290.0,0.0,732.81,2375212061.0
24,J,128597,11,9921100,0,0.0,0.0,4572495.0,0.0,0.0,0.0,0.0,0.0,4572495.0
24,J,128597,12,9995000,0,0.0,0.0,3153365054.0,0.0,0.0,46507502.0,0.0,0.0,3174876611.0
24,J,128598,1,3532354,9,5218648.0,5042472.0,1386090000.0,0.0,0.0,30528000.0,0.0,268.83,1402923193.0
24,J,128598,12,9995000,0,0.0,0.0,1386090000.0,0.0,0.0,30528000.0,0.0,0.0,1402923193.0
